feature	coef	Family_Name
M0147_1.02_REV_2	-2.72006361176333	B3
M0848_1.02_FWD_7	2.70828521285837	Homeodomain
M0854_1.02_FWD_1	-2.67789339421223	Homeodomain
M0821_1.02_REV_3	2.67573869864001	GRAS
M2341_1.02_REV_6	-2.63708011997183	MADS box
M0848_1.02_REV_7	2.56744240259365	Homeodomain
M1649_1.02_REV_6	-2.54256281930997	TCP
M0371_1.02_REV_6	-2.54152018681268	C2H2 ZF
M1836_1.02_FWD_4	2.53500448824397	MADS box
M1690_1.02_FWD_3	-2.5128013301277	WRKY
M01126_BPC1_Q2_REV_6	2.5052739405678	BBR/BPC
M01126_BPC1_Q2_REV_6	2.5052739405678	BBR/BPC-family of GAGA-motif binding transcription factors
M1644_1.02_REV_2	2.50126504949735	TCP
M1688_1.02_FWD_7	-2.48989976607266	WRKY
M0649_1.02_REV_6	-2.48370270339815	Dof
M1341_1.02_REV_5	2.46347926805065	Myb/SANT
M1326_1.02_FWD_5	2.42997165945983	Myb/SANT
M1567_1.02_REV_2	2.42688509753389	SBP
M1309_1.02_REV_4	2.40749501428702	Myb/SANT
M0761_1.02_FWD_5	-2.40517341756021	GATA
M0014_1.02_REV_2	-2.38202556560389	AP2
M0759_1.02_FWD_3	-2.38195648690901	GATA
M1647_1.02_FWD_2	-2.36833867205005	TCP
M0369_1.02_FWD_5	-2.35687415353071	C2H2 ZF
M0080_1.02_FWD_2	2.34187809830019	AP2,B3
M0257_1.02_FWD_6	-2.31788128465811	bZIP
M0761_1.02_REV_7	-2.31181222813533	GATA
M0118_1.02_REV_2	2.29945859561054	AT hook
M0371_1.02_REV_4	2.28638393870255	C2H2 ZF
M0010_1.02_REV_1	-2.28408335069482	AP2
M0769_1.02_REV_5	2.27041592713486	GATA
M01050_ARR10_01_FWD_3	-2.26900584800044	ARR-B
M01050_ARR10_01_FWD_3	-2.26900584800044	Response Regulator
M1642_1.02_FWD_6	-2.24809009057484	TBP
M0372_1.02_REV_3	2.24464547888317	C2H2 ZF
M0370_1.02_REV_6	2.22278053524535	C2H2 ZF
M1692_1.02_REV_6	-2.20264160840515	WRKY
M1697_1.02_FWD_3	-2.19344070177004	WRKY
M0765_1.02_FWD_2	-2.17003479434775	GATA
M1685_1.02_REV_1	-2.16810116195398	WRKY
M1346_1.02_FWD_4	-2.16556482171677	Myb/SANT
M1561_1.02_REV_2	2.16356259563161	SBP
M0583_1.02_FWD_4	2.15137577959476	CSD
M1416_1.02_REV_2	-2.14670739789024	NAC/NAM
M01194_PDF2_01_REV_5	2.14038921649105	Homeobox
M0844_1.02_REV_6	-2.13055518357925	Homeodomain
M0646_1.02_REV_7	-2.10734454952167	Dof
M1365_1.02_REV_4	2.08618211693959	Myb/SANT
M1642_1.02_FWD_3	-2.08476796299907	TBP
M0653_1.02_REV_3	2.08306142627573	Dof
M0370_1.02_FWD_1	2.05909446850512	C2H2 ZF
M0372_1.02_FWD_3	2.0549163317198	C2H2 ZF
M0166_1.02_REV_3	-2.05147978563874	bHLH
M01188_CBNAC_01_FWD_7	2.05076470365811	NAC
M0259_1.02_REV_7	2.03481059783561	bZIP
M2356_1.02_FWD_4	2.02381250340875	MADS box
M0583_1.02_REV_5	2.02271047189464	CSD
M01194_PDF2_01_FWD_1	2.02066960745721	Homeobox
M1335_1.02_REV_5	-2.00232564333582	Myb/SANT
M0167_1.02_REV_5	2.00015874599621	bHLH
M0821_1.02_FWD_3	1.98588973931225	GRAS
M0119_1.02_REV_1	-1.98404212578564	AT hook
M1309_1.02_REV_3	1.96863906780258	Myb/SANT
M0038_1.02_FWD_2	-1.9663721038005	AP2
M0017_1.02_FWD_5	1.95653675369268	AP2
M0026_1.02_FWD_2	-1.92402751621898	AP2
M0016_1.02_REV_2	-1.90697554649935	AP2
M0262_1.02_REV_7	1.90361928418183	bZIP
M1324_1.02_REV_7	-1.89868686536128	Myb/SANT
M1647_1.02_REV_2	1.89599479968793	TCP
M1644_1.02_REV_5	1.89370616381529	TCP
M0651_1.02_REV_2	-1.8936245938504	Dof
M1319_1.02_REV_5	-1.88690947344977	Myb/SANT
M1695_1.02_REV_5	-1.88636591145262	WRKY
M0080_1.02_FWD_6	-1.87228598348437	AP2,B3
M0119_1.02_FWD_7	-1.86627008940861	AT hook
M0769_1.02_REV_6	1.86596562863779	GATA
M0851_1.02_REV_7	-1.82861292574619	Homeodomain
M0851_1.02_REV_5	-1.81513821147825	Homeodomain
M01126_BPC1_Q2_FWD_7	-1.79735843978336	BBR/BPC
M01126_BPC1_Q2_FWD_7	-1.79735843978336	BBR/BPC-family of GAGA-motif binding transcription factors
M1326_1.02_REV_2	1.78621006713958	Myb/SANT
M1407_1.02_FWD_6	-1.77590924988301	NAC/NAM
M0590_1.02_FWD_7	1.77091248700956	CxC
M1701_1.02_FWD_4	-1.72710583873807	WRKY
M1940_1.02_FWD_5	-1.71076035501428	C2H2 ZF
M1329_1.02_REV_4	1.70204892972518	Myb/SANT
M2342_1.02_FWD_4	1.69985576704078	Unknown
M0145_1.02_FWD_6	-1.67593324973017	AT hook
M0078_1.02_REV_4	1.67058470168558	B3
M0078_1.02_REV_4	1.67058470168558	AP2,B3
M1683_1.02_FWD_2	-1.66929472151436	WRKY
M0762_1.02_REV_2	-1.65284016842321	GATA
M01126_BPC1_Q2_REV_4	1.64221463344226	BBR/BPC
M01126_BPC1_Q2_REV_4	1.64221463344226	BBR/BPC-family of GAGA-motif binding transcription factors
M0012_1.02_FWD_7	1.63129561562379	AP2
M1649_1.02_FWD_2	-1.62233990906741	TCP
M1315_1.02_REV_1	-1.61250346073778	Myb/SANT
M0014_1.02_REV_7	-1.61186477740278	AP2
M0118_1.02_FWD_2	1.60576247473358	AT hook
M0142_1.02_FWD_6	1.60549335810445	AT hook
M0080_1.02_FWD_3	1.57566879513285	AP2,B3
M1402_1.02_REV_7	-1.57151484590444	NAC/NAM
M0273_1.02_FWD_7	-1.5671104642406	bZIP
M0842_1.02_FWD_6	1.56095874809625	Homeodomain
M1335_1.02_REV_3	-1.56075196297935	Myb/SANT
M1686_1.02_FWD_3	-1.55802608961838	WRKY
M0651_1.02_FWD_1	-1.55068944280893	Dof
M00344_RAV1_02_REV_6	-1.54278089813701	RAV
M1411_1.02_REV_6	1.52355391631561	NAC/NAM
M1642_1.02_REV_1	-1.523315850062	TBP
M01050_ARR10_01_REV_3	1.50875443873071	ARR-B
